e-staffing  System  請求書アップロードログ
ログ出力時刻：2026/03/30  15:39:24

日時                	ファイル名       	メッセージ
2026/03/30  15:39:24	nmht_03301514.zip	解凍処理開始
2026/03/30  15:39:24	nmht_03301514.zip	解凍処理終了
2026/03/30  15:39:24	BH03301514.txt   	請求ヘッダ取込チェック開始
2026/03/30  15:39:24	BH03301514.txt   	請求ヘッダ取込チェック異常終了
2026/03/30  15:39:24	BD03301514.txt   	請求明細取込チェック開始
2026/03/30  15:39:24	BD03301514.txt   	請求明細取込チェック終了
2026/03/30  15:39:24	BT03301514.txt   	勤怠取込チェック開始
2026/03/30  15:39:24	BT03301514.txt   	勤怠取込チェック異常終了

エラー発生箇所        	レコード番号           	エラー内容
請求ヘッダ取込チェック	1,BHM20260228AHIG      	請求書コード重複エラー
請求ヘッダ取込チェック	2,BHM20260228AIN       	請求書コード重複エラー
請求ヘッダ取込チェック	3,BHM20260228AITO      	請求書コード重複エラー
請求ヘッダ取込チェック	4,BHM20260228AND       	請求書コード重複エラー
請求ヘッダ取込チェック	5,BHM20260228AWT       	請求書コード重複エラー
勤怠取込チェック      	1,BHM20260228AHIG-AHIG-	日付29未設定エラー
勤怠取込チェック      	2,BHM20260228AIN-AIN-  	日付29未設定エラー
勤怠取込チェック      	3,BHM20260228AITO-AITO-	日付29未設定エラー
勤怠取込チェック      	4,BHM20260228AND-AND-  	日付29未設定エラー
勤怠取込チェック      	5,BHM20260228AWT-AWT-  	日付29未設定エラー
